"","title","primary_setting","secondary_setting","author_first","author_last","age","type","format","book_summary","group_1","group_2","own_voice","setting","continent","iso","iso2","region","author","Hardcover","Paperback","Audio","Out_of_Stock.Print","origin_1","origin_2","cultures"
"169","Children of War: Voices of Iraqi Refugees","Jordan","Canada","Deborah","Ellis","12+","Young Adult","Available in Paperback","The United States and its allies invaded Iraq seven years ago. Today the country is still at war, and no one can claim that true democracy has come. Four million Iraqis have been displaced, and about half of them, unable to flee the country, are now living in remote tent camps without access to schools, health care, or often even food and clean water. In? <em>Children of War,</em>? a companion title to? <em>Off to War: Voices of Soldiers' Children,</em>? Deborah Ellis turns her attention to the most tragic victims of the Iraq war ƒ?? Iraqi children. She interviews two dozen young people, mostly refugees living in Jordan, but also a few who are trying to build new lives in North America. Their frank and harrowing stories reveal inspiring resilience as the children try to survive the consequences of a war in which they play no part.","Iraqi","","No","Jordan , Canada","Asia","JO","CA","Middle East & North Africa","Deborah Ellis",NA,"Yes",NA,NA,"Iraqi","","Iraqi"
"170","Hidden","Iraq","","Miriam","Halahmy","12+","Middle Grade","Available in Paperback","For fourteen-year-old Alix, life on Hayling Island off the coast of England seems insulated from problems such as war, terrorism and refugees. But then, one day at the beach, Alix and her friend Samir pull a drowning man out of the incoming tide. Mohammed, an illegal immigrant and student, has been tortured by rebels in Iraq for helping the allied forces and has spent all his money to escape. Desperate not to be deported, Mohammed's destiny now lies in Alix's hands, and she is faced with the biggest moral dilemma of her life. Should she notify the authorities or try to protect Mohammed? How can she keep him safe? Exciting and thought-provoking, this novel provides a compelling, personal look at a contemporary issue, inspired by true stories and informed by the author's work with refugees and asylum seekers. Nominated for the Carnegie Medal.","Iraqi","","No","Iraq","Asia","IQ",NA,"Middle East & North Africa","Miriam Halahmy",NA,"Yes",NA,NA,"Iraqi","","Iraqi"
"171","Silent Music","Iraq","","James","Rumford","5+","Picture Book","Available in Hardcover","When bombs begin to fall, Ali drowns out the sound of war with a pen. Like other children living in Baghdad, Ali loves soccer, music and dancing, but most of all, he loves the ancient art of calligraphy. When bombs begin to fall on his city, Ali turns to his pen, writing sweeping and gliding words to the silent music that drowns out the war all around him. Gorgeously illustrated with collage, pencil and charcoal drawings and, of course, exquisite calligraphy, this timely and yet universal story celebrates art and history but also offers young children a way to understand all they see and hear on the news.","Iraqi","","No","Iraq","Asia","IQ",NA,"Middle East & North Africa","James Rumford","Yes",NA,NA,NA,"Iraqi","","Iraqi"
"172","A Refugee's Journey from Iraq","Iraq","Jordan","Ellen","Rodger","9+","Non-fiction","Available in Library Edition & Paperback","Zainab has never known peace in her homeland of Iraq. She and her family flee the country after her father is threatened by one of the many groups fighting against the government. Zainab's life is on hold as her family seeks safety in Jordan and, later, the United States. Interspersed with facts about Iraq and its people, this narrative tells a story common to many refugees fleeing the country. Readers will learn about the ongoing conflict in Iraq and how they can help refugees in their communities and around the world who are struggling to find permanent homes.","Iraqi","","No","Iraq , Jordan","Asia","IQ","JO","Middle East & North Africa","Ellen Rodger",NA,"Yes",NA,NA,"Iraqi","","Iraqi"
"173","Playing Atari with Saddam Hussein","Iraq","","Jennifer and Ali","Roy and Fadhil","9+","Chapter Book","Available in Paperback","At the start of 1991, eleven-year-old Ali Fadhil was consumed by his love for soccer, video games, and American television shows. Then, on January 17, Iraq's dictator Saddam Hussein went to war with thirty-four nations led by the United States. Over the next forty-three days, Ali and his family survived bombings, food shortages, and constant fear. Ali and his brothers played soccer on the abandoned streets of their Basra neighborhood, wondering when or if their medic father would return from the war front. Cinematic, accessible, and timely, this is the story of one ordinary kid's view of life during war.","Iraqi","","Yes","Iraq","Asia","IQ",NA,"Middle East & North Africa","Jennifer and Ali Roy and Fadhil",NA,"Yes",NA,NA,"Iraqi","","Iraqi"
"174","The White Zone","Iraq","","Carolyn","Marsden","9+","Chapter Book","Available in Paperback","Nouri and his cousin Talib can only vaguely remember a time before tanks rumbled over the streets of their Baghdad neighborhood when books, not bombs, ruled Mutanabbi Street. War has been the backdrop of their young lives. And now Iraq isn't just at war with Americans. It's at war with itself. Sunnis fight Shiites, and the strife is at the boys' doorsteps. Nouri is Shiite and Talib is half Sunni. To the boys, it seems like only a miracle can mend the rift that is tearing a country and a family apart. In early 2008, Iraq experienced a miracle. Snow fell in Baghdad for the first time in living memory. As snow covered the dusty streets, the guns in the city grew silent and there was an unofficial ceasefire. During these magical minutes, Sunni and Shiite differences were forgotten. There was no green zone, no red zone. There was only the white zone. Against this real-life backdrop, Nouri and Talib begin to imagine a world after the war.","Iraqi","Sunni","No","Iraq","Asia","IQ",NA,"Middle East & North Africa","Carolyn Marsden",NA,"Yes",NA,NA,"Iraqi","Sunni","Iraqi , Sunni"
"175","Grandpa Cacao: A Tale of Chocolate, from Farm to Family","Unspecified","","Elizabeth","Zunon","3+","Picture Book","Available in Hardcover","Chocolate is the perfect treat, everywhere! As a little girl and her father bake her birthday cake together, Daddy tells the story of her Grandpa Cacao, a farmer from the Ivory Coast in West Africa. In a land where elephants roam and the air is hot and damp, Grandpa Cacao worked in his village to harvest cacao, the most important ingredient in chocolate. ""Chocolate is a gift to you from Grandpa Cacao,"" Daddy says. ""We can only enjoy chocolate treats thanks to farmers like him."" Once the cake is baked, it's ready to eat, but this isn't her only birthday present. There's a special surprise waiting at the front door . . .","Ivorian","","No","Unspecified",NA,NA,NA,NA,"Elizabeth Zunon","Yes",NA,NA,NA,"Ivorian","","Ivorian"
"176","Malaika's Winter Carnival","Canada","","Nadia","L. Hohn","6+","Picture Book","Available in Hardcover","Malaika is happy to be reunited with Mummy, but it means moving to a different country, where everything is different. It's cold in her new city, no one understands when she talks and Carnival is nothing like the celebration Malaika knows from home! When Mummy marries Mr. Fredric, Malaika gets a new sister called Adale. Her new family is nice, but Malaika misses Grandma. She has to wear a puffy purple coat, learn a new language and get used to calling this new place home. Things come to a head when Mummy and Mr. Fredric take Malaika and Adale to a carnival. Malaika is dismayed that there are no colorful costumes and that it's nothing like Carnival at home in the Caribbean! She is so angry that she kicks over Adale's snow castle, but that doesn't make her feel any better. It takes a video chat with Grandma to help Malaika see the good things about her new home and family.","Jamaican","French Canadian","No","Canada","Americas","CA",NA,"North America","Nadia L. Hohn","Yes",NA,NA,NA,"Jamaican","French Canadian","Jamaican , French Canadian"
"177","America My New Home","United States","","Monica","Gunning","7+","Picture Book","Out of Print","From her Caribbean island birthplace, a young girl carries a dream and journeys to a new land that is at once puzzling, frightening, and inspiring. In twenty-three compelling poems, Jamaican-born poet Monica Gunning tells her immigrant's story with gentle humor, grace, and a child's sense of wonder. She describes a place where skyscrapers, rather than the moon, light the night; where people dress in woolens, ready for snow; where no one knows your name. Yet this same place offers exciting treasures: dizzying amusement park rides, stirring symphony concerts, flashy circus performers, towering cathedrals, and captivating art museums that speak to those who linger. Above all, this new land is place where """"hope glows, a beacon / guiding ocean-deep dreamers / from storm surfs to shore.","Jamaican","","No","United States","Americas","US",NA,"North America","Monica Gunning",NA,NA,NA,"Yes","Jamaican","","Jamaican"
"178","The Sun Is Also a Star","United States","","Nicola","Yoon","12+","Young Adult","Available in Hardcover, Paperback, Audio","Natasha:I'm a girl who believes in science and facts. Not fate. Not destiny. Or dreams that will never come true. I'm definitely not the kind of girl who meets a cute boy on a crowded New York City street and falls in love with him. Not when my family is twelve hours away from being deported to Jamaica. Falling in love with him won't be my story. Daniel: I've always been the good son, the good student, living up to my parents' high expectations. Never the poet. Or the dreamer. But when I see her, I forget about all that. Something about Natasha makes me think that fate has something much more extraordinary in store for both of us. The Universe: Every moment in our lives has brought us to this single moment. A million futures lie before us. Which one will come true?","many animal species","Korean American","No","United States","Americas","US",NA,"North America","Nicola Yoon","Yes","Yes","Yes",NA,"many animal species","Korean","many animal species , Korean"
"179","Flying The Dragon","Japan","United States","Natalie Dias","Lorenzi","9+","Chapter Book","Available in Paperback","Flying the Dragon tells the story of two cousins in alternating chapters. American-born Skye is a good student and a star soccer player who never really gives any thought to the fact that her father is Japanese. Her cousin, Hiroshi, lives in Japan, and never really gives a thought to his uncle's family living in the U.S. Their lives are thrown together when Hiroshi's family, with his grandfather (who is also his best friend), have to move to the U.S. suddenly. Skye resents that she is now """"not Japanese enough,"""" and yet the friends she's known forever abruptly realize she is """"other."""" Hiroshi has a hard time adjusting to life in a new culture, and resents Skye's intrusions on his time with Grandfather. Through all of this is woven Hiroshi's expertise, and Skye's growing interest in, kite making and competitive kite flying, culminating in a contest at the annual Washington Cherry Blossom Festival.","Japanese","Japanese-American","No","Japan , United States","Asia","JP","US","East Asia & Pacific","Natalie Dias Lorenzi",NA,"Yes",NA,NA,"Japanese","Japanese","Japanese"
"180","It's Not Like It's A Secret","United States","","Misa","Sugiura","12+","Young Adult","Available in Hardcover, Paperback, Audio","Sixteen-year-old Sana Kiyohara has too many secrets. Some are small, like how it bothers her when her friends don't invite her to parties. Some are big, like the fact that her father may be having an affair. And then there's the one that she can barely even admit to herself the one about how she might have a crush on her best friend. When Sana and her family move to California, she begins to wonder if it's finally time for some honesty, especially after she meets Jamie Ramirez. Jamie is beautiful and smart and unlike anyone Sana's ever known. There are just a few problems: Sana's new friends don't trust Jamie's crowd; Jamie's friends clearly don't want her around anyway; and a sweet guy named Caleb seems to have more-than-friendly feelings for her. Meanwhile, her dad's affair is becoming too obvious to ignore. Sana always figured that the hardest thing would be to tell people that she wants to date a girl, but as she quickly learns, telling the truth is easy what comes after it, though, is a whole lot more complicated.","Japanese American","Mexican American","No","United States","Americas","US",NA,"North America","Misa Sugiura","Yes","Yes","Yes",NA,"Japanese","Mexican","Japanese , Mexican"
"181","This Time Will Be Different","United States","","Misa","Sugiura","13+","Young Adult","Available in Hardcover, Paperback, Audio","The author of the Asian Pacific American Award-winning It?s Not Like It?s a Secret is back with another smartly drawn coming-of-age novel that weaves riveting family drama, surprising humor, and delightful romance into a story that will draw you in from the very first page. Katsuyamas never quit?but seventeen-year-old CJ doesn?t even know where to start. She?s never lived up to her mom?s type A ambition, and she?s perfectly happy just helping her aunt, Hannah, at their family?s flower shop. She doesn?t buy into Hannah?s romantic ideas about flowers and their hidden meanings, but when it comes to arranging the perfect bouquet, CJ discovers a knack she never knew she had. A skill she might even be proud of. Then her mom decides to sell the shop?to the family who swindled CJ?s grandparents when thousands of Japanese Americans were sent to internment camps during WWII. Soon a rift threatens to splinter CJ?s family, friends, and their entire Northern California community; and for the first time, CJ has found something she wants to fight for.","Japanese American","","No","United States","Americas","US",NA,"North America","Misa Sugiura","Yes","Yes","Yes",NA,"Japanese","","Japanese"
"182","Ojiichan's Gift","Japan","","Chieri","Uegaki","3+","Picture Book","Available in Hardcover","When Mayumi was born, her grandfather created a garden for her. It was unlike any other garden she knew. It had no flowers or vegetables. Instead, Ojiichan made it out of stones: ?big ones, little ones and ones in-between.? Every summer, Mayumi visits her grandfather in Japan, and they tend the garden together. Raking the gravel is her favorite part. Afterward, the two of them sit on a bench and enjoy the results of their efforts in happy silence. But then one summer, everything changes. Ojiichan has grown too old to care for his home and the garden. He has to move. Will Mayumi find a way to keep the memory of the garden alive for both of them? This gentle picture book story will warm children's hearts as it explores a deep intergenerational bond and the passing of knowledge from grandparent to grandchild over time. The lyrical text by Chieri Uegaki and luminous watercolor illustrations by Genevieve Simms beautifully capture the emotional arc of the story, from Mayumi's contentment through her anger and disappointment to, finally, her acceptance. The story focuses on an important connection to nature, particularly as a place for quiet reflection. It contains character education lessons on caring, responsibility, perseverance and initiative. It's also a wonderful way to introduce social studies conversations about family, aging and multiculturalism. Mayumi lives in North America with her Japanese mother and Dutch father, and visits her grandfather in Japan. Some Japanese words are included.","Japanese American","","No","Japan","Asia","JP",NA,"East Asia & Pacific","Chieri Uegaki","Yes",NA,NA,NA,"Japanese","","Japanese"
"183","The Thing About Luck","Japan","","Cynthia","Kadohata","9+","Chapter Book","Available in Hardcover & Paperback","Summer knows that kouun means good luck in Japanese, and this year her family has none of it. Just when she thinks nothing else can possibly go wrong, an emergency whisks her parents away to Japan right before harvest season. Summer and her little brother, Jaz, are left in the care of their grandparents, who come out of retirement in order to harvest wheat and help pay the bills. The thing about Obaachan and Jiichan is that they are old-fashioned and demanding, and between helping Obaachan cook for the workers, covering for her when her back pain worsens, and worrying about her lonely little brother, Summer just barely has time to notice the attentions of their boss's cute son. But notice she does, and what begins as a welcome distraction from the hard work soon turns into a mess of its own. Having thoroughly disappointed her grandmother, Summer figures the bad luck must be finished but then it gets worse. And when that happens, Summer has to figure out how to change it herself, even if it means further displeasing Obaachan. Because it might be the only way to save her family. Cynthia Kadohata's ode to the breadbasket of America has received six starred reviews and was selected as a National Book Award Finalist.","Japanese American","","No","Japan","Asia","JP",NA,"East Asia & Pacific","Cynthia Kadohata","Yes","Yes",NA,NA,"Japanese","","Japanese"
"184","They Say Blue","Canada","","Jillian","Tamaki","5+","Picture Book","Available in Hardcover","In captivating paintings full of movement and transformation, Tamaki follows a young girl through a year or a day as she examines the colors in the world around her. Egg yolks are sunny orange as expected, yet water cupped in her hands isn't blue like they say. But maybe a blue whale is blue. She doesn't know, she hasn't seen one. Playful and philosophical, They Say Blue is a book about color as well as perspective, about the things we can see and the things we can only wonder at. This first picture book from celebrated illustrator Jillian Tamaki will find equal appreciation among kids and collectors.","Japanese Canadian","","Yes","Canada","Americas","CA",NA,"North America","Jillian Tamaki","Yes",NA,NA,NA,"Japanese Canadian","","Japanese Canadian"
"185","Refugee","Cuba","Cuba","Alan","Gratz","9+","Chapter Book","Available in Handcover & Audio","JOSEF is a Jewish boy living in 1930s Nazi Germany. With the threat of concentration camps looming, he and his family board a ship bound for the other side of the world . . . ISABEL is a Cuban girl in 1994. With riots and unrest plaguing her country, she and her family set out on a raft, hoping to find safety in America . . . MAHMOUD is a Syrian boy in 2015. With his homeland torn apart by violence and destruction, he and his family begin a long trek toward Europe . . . All three kids go on harrowing journeys in search of refuge. All will face unimaginable dangers -- from drownings to bombings to betrayals. But there is always the hope of tomorrow. And although Josef, Isabel, and Mahmoud are separated by continents and decades, shocking connections will tie their stories together in the end. This action-packed novel tackles topics both timely and timeless: courage, survival, and the quest for home.","Jewish","Cuban","No","Cuba , Cuba","Americas","CU","CU","Latin America & Caribbean","Alan Gratz",NA,NA,"Yes",NA,"Jewish","Cuban","Jewish , Cuban"
"186","Stormy Seas: Stories of Young Boat Refugees","Vietnam","Cuba","Mary","Beth Leatherdale","9+","Non-fiction","Available in Hardcover & Paperback","The phenomenon of desperate refugees risking their lives to reach safety is not new. For hundreds of years, people have left behind family, friends, and all they know in hope of a better life. This book presents five true stories about young people who lived through the harrowing experience of setting sail in search of asylum: Ruth and her family board the St. Louis to escape Nazism; Phu sets out alone from war-torn Vietnam; Josa tries to reach the U.S. from Cuba; Najeeba flees Afghanistan and the Taliban; Mohamed, an orphan, runs from his village on the Ivory Coast. Aimed at middle grade students, Stormy Seas combines a contemporary collage-based design, sidebars, fact boxes, timeline and further reading to produce a book that is ideal for both reading and research. Readers will gain new insights into a situation that has constantly been making the headlines.","Jewish","Vietnamese","No","Vietnam , Cuba","Asia","VN","CU","East Asia & Pacific","Mary Beth Leatherdale","Yes","Yes",NA,NA,"Jewish","Vietnamese","Jewish , Vietnamese"
"187","Outcasts United: The Story of a Refugee Soccer Team That Changed a Town","Jordan","","Warren","St. John","12+","Non-fiction","Available in Paperback","This young people's version of the adult bestseller, Outcasts United: An American Town, a Refugee Team, and One Woman's Quest to Make a Difference is a complex and inspirational story about the Fugees, a youth soccer team made up of diverse refugees from around the world, and their formidable female coach, Luma Mufleh. Clarkston, Georgia, was a typical southern town until it became a refugee resettlement center. The author explores how the community changed with the influx of refugees and how the dedication of Lumah Mufleh and the entire Fugees soccer team inspired an entire community.","Jordanian","Afghani","No","Jordan","Asia","JO",NA,"Middle East & North Africa","Warren St. John",NA,"Yes",NA,NA,"Jordanian","Afghani","Jordanian , Afghani"
"188","Here to Stay","Jordan","","Sara","Farizan","12+","Middle Grade","Available in Hardcover & Paperback","Bijan Majidi is: Shy around girls, Really into comics, Decent at basketball. Bijan Majidi is not: A terrorist. What happens when a kid who's flown under the radar for most of high school gets pulled off the bench to make the winning basket in a varsity playoff game? If his name is Bijan Majidi, life is suddenly high fives in the hallways and invitations to exclusive parties along with an anonymous photo sent by a school cyberbully that makes Bijan look like a terrorist. The administration says they'll find and punish the culprit. Bijan wants to pretend it never happened. He's not ashamed of his Middle Eastern heritage; he just doesn't want to be a poster child for Islamophobia. Lots of classmates rally around Bijan. Others make it clear they don't want him or anybody who looks like him at their school. But it's not always easy to tell your enemies from your friends. Here to Stay is a painfully honest, funny, authentic story about growing up, speaking out, and fighting prejudice.","Jordanian American","Persian American","Yes","Jordan","Asia","JO",NA,"Middle East & North Africa","Sara Farizan","Yes","Yes",NA,NA,"Jordanian","Persian","Jordanian , Persian"
"189","Walking Home","Kenya","","Eric","Walters","9+","Chapter Book","Available in Paperback","13-year-old Muchoki and his younger sister, Jata, can barely recognize what's become of their lives. Only weeks ago they lived in a bustling Kenyan village, going to school, playing soccer with friends, and helping at their parents' store. But sudden political violence has killed their father and destroyed their home. Now, Muchoki, Jata, and their ailing mother live in a tent in an overcrowded refugee camp. By day, they try to fend off hunger and boredom. By night, their fears about the future are harder to keep at bay. Driven by both hope and desperation, Muchoki and Jata set off on what seems like an impossible journey: to walk hundreds of kilometers to find their last remaining family.","Kenyan","","No","Kenya","Africa","KE",NA,"Sub-Saharan Africa","Eric Walters",NA,"Yes",NA,NA,"Kenyan","","Kenyan"
"190","That's NOT How You Do It!","Unspecified","","Ariane","Hofmann-Maniyar","5+","Picture Book","Available in Hardcover","Lucy knows how to do everything. She knows how to eat with a spoon and fork, play the xylophone, paint elephants and lots more besides! All her friends ask her for help if they need to know the right way to do something. When Toshi arrives, Lucy thinks he can't do anything properly at all. He eats differently, plays strange music, and he definitely can't paint elephants. She can barely hide her frustration. And when she finally tries to teach Toshi the right way to do things, she learns a very important lesson herself. A simple, funny tale about understanding, respecting and enjoying our differences.","Kittens","Pandas","No","Unspecified",NA,NA,NA,NA,"Ariane Hofmann-Maniyar","Yes",NA,NA,NA,"Animals","Animals","Animals"
"191","A Step From Heaven","United States","","An","Na","12+","Young Adult","Available in Hardcover & Paperback","When she is five, Young Ju Park and her family move from Korea to California. During the flight, they climb so far into the sky she concludes they are on their way to Heaven, that Heaven must be in America. Heaven is also where her grandfather is. When she learns the distinction, she is so disappointed she wants to go home to her grandmother. Trying to console his niece, Uncle Tim suggests that maybe America can be """"a step from Heaven."""" Life in America, however, presents problems for Young Ju's family. Her father becomes depressed, angry, and violent. Jobs are scarce and money is even scarcer. When her brother is born, Young Ju experiences firsthand her father's sexism as he confers favored status upon the boy who will continue to carry the Park name. In a wrenching climactic scene, her father beats her mother so severely that Young Ju calls the police. Soon afterward, her father goes away and the family begins to heal.","Korean","Korean-American","Yes","United States","Americas","US",NA,"North America","An Na","Yes","Yes",NA,NA,"Korean","Korean","Korean"
"192","My Name is Yoon","United States","","Helen","Recorvits","4+","Picture Book","Available in Hardcover & Paperback","Yoon's name means Shining Wisdom, and when she writes it in Korean, it looks happy, like dancing figures. But her father tells her that she must learn to write it in English. In English, all the lines and circles stand alone, which is just how Yoon feels in the United States. Yoon isn't sure that she wants to be YOON. At her new school, she tries out different names ƒ?? maybe CAT or BIRD. Maybe CUPCAKE! Helen Recorvits's spare and inspiring story about a little girl finding her place in a new country is given luminous pictures filled with surprising vistas and dreamscapes by Gabi Swiatkowska.","Korean","","No","United States","Americas","US",NA,"North America","Helen Recorvits","Yes","Yes",NA,NA,"Korean","","Korean"
"193","What Will You Be, Sara Mee?","","","Kate","Aver Avraham","4+","Picture Book","Available in Hardcover & Paperback","Will she be an artist? A cook? A writer? Sara Mee is turning one, and her family and friends gather for her <em>tol</em>, or first-birthday celebration. Food and presents abound, but most exciting of all is the traditional Korean prophecy game, called the <em>toljabee</em>, which predicts what Sara Mee will be when she grows up. A book for all cultures, <em>What Will You Be, Sara Mee?</em> celebrates siblings, community, and the blending of traditions.","Korean","Korean-American","No","",NA,NA,NA,NA,"Kate Aver Avraham","Yes","Yes",NA,NA,"Korean","Korean","Korean"
"194","A Piece of Home","Korea","","Jeri","Watts","6+","Picture Book","Available in Hardcover","When Hee Jun's family moves from Korea to West Virginia, he struggles to adjust to his new home. His eyes are not big and round like his classmates', and he can't understand anything the teacher says, even when she speaks s-l-o-w-l-y and loudly at him. As he lies in bed at night, the sky seems smaller and darker. But little by little Hee Jun begins to learn English words and make friends on the playground. And one day he is invited to a classmate's house, where he sees a flower he knows from his garden in Korea mugunghwa, or rose of Sharon, as his friend tells him and Hee Jun is happy to bring a shoot to his grandmother to plant a piece of home in their new garden. Lyrical prose and lovely illustrations combine in a gentle, realistic story about finding connections in an unfamiliar world.","Korean","","No","Korea","Asia","KR",NA,"East Asia & Pacific","Jeri Watts","Yes",NA,NA,NA,"Korean","","Korean"
"195","Where's Halmoni?","Korea","United States","Julie","Kim","7+","Picture Book","Available in Hardcover","Beautifully illustrated and told by debut author Julie Kim, this picture book in a graphic-novel style follows a young Korean girl and boy whose search for their missing grandmother leads them into a world inspired by Korean folklore, complete with mischievous goblins (dokkebi), a greedy tiger, a clever rabbit, and a wily fox. Two young children pay a visit to Halmoni (grandmother in Korean), only to discover she's not home. As they search for her, noticing animal tracks covering the floor, they discover a window, slightly ajar, new to their grandmother's home. Their curiosity gets the best of them, and they crawl through and discover an unfamiliar fantastical world, and their adventure begins. As they continue to search for their grandmother and solve the mystery of the tracks, they go deeper into a world of Korean folklore, meeting a number of characters who speak in Korean along the way, and learn more about their cultural heritage. This beautifully illustrated graphic picture book is filled with a number of Easter eggs for readers of all ages to discover, and is inspired by the Korean folktales that author and illustrator Julie Kim heard while growing up. Translations to Korean text in the story and more about the folktale-inspired characters are included at the end.","Korean","Korean American","Yes","Korea , United States","Asia","KR","US","East Asia & Pacific","Julie Kim","Yes",NA,NA,NA,"Korean","Korean","Korean"
"196","Project Mulberry","Korea","","Linda Sue","Park","8+","Chapter Book","Available in Paperback","Julia Song and her friend Patrick want to team up to win a blue ribbon at the state fair, but they can't agree on the perfect project. Then Julia's mother suggests they raise silkworms as she did years ago in Korea. The optimistic twosome quickly realizes that raising silkworms is a lot tougher than they thought. And Julia never suspected that she'd be discussing the fate of her and Patrick's project with Ms. Park, the author of this book!
","Korean","Korea-American","Yes","Korea","Asia","KR",NA,"East Asia & Pacific","Linda Sue Park",NA,"Yes",NA,NA,"Korean","Korean","Korean"
"197","I'm Ok","Korea","","Patti","Kim","10+","Middle Grade","Available in Hardcover and Paperback","Ok Lee knows it?s his responsibility to help pay the bills. With his father gone and his mother working three jobs and still barely making ends meet, there?s really no other choice. If only he could win the cash prize at the school talent contest! But he can?t sing or dance, and has no magic up his sleeves, so he tries the next best thing: a hair braiding business. It?s too bad the girls at school can?t pay him much, and he?s being befriended against his will by Mickey McDonald, an unusual girl with a larger-than-life personality. Then there?s Asa Banks, the most popular boy in their grade, who?s got it out for Ok. But when the pushy deacon at their Korean church starts wooing Ok?s mom, it?s the last straw. Ok has to come up with an exit strategy?fast.","Korean American","African American","No","Korea","Asia","KR",NA,"East Asia & Pacific","Patti Kim","Yes","Yes",NA,NA,"Korean","African American","Korean , African American"
"198","Chef Roy Choi and the Street Food Remix","United States","","Jacqueline and June","Briggs Martin and Jo Lee","5+","Picture Book","Available in Hardcover & Audio","Chef Roy Choi calls himself a street cook. He wants outsiders, low-riders, kids, teens, shufflers and skateboarders, to have food cooked with care, with love, with sohn maash. """"Sohn maash"""" is the flavors in our fingertips. It is the love and cooking talent that Korean mothers and grandmothers mix into their handmade foods. For Chef Roy Choi, food means love. It also means culture, not only of Korea where he was born, but the many cultures that make up the streets of Los Angeles, where he was raised. So remixing food from the streets, just like good music and serving it up from a truck is true to L.A. food culture. People smiled and talked as they waited in line. Won't you join him as he makes good food smiles? Jacqueline Briggs Martin, author of the Caldecott Medal winner, Snowflake Bentley as well as Farmer Will Allen and the Growing Table , and Alice Waters and the Trip to Delicious continues her Food Heroes series with Chef Roy Choi on people who change what and how we eat. Together with food ethnographer June Jo Lee and internationally renowned graffiti artist Man One, they bring an exuberant celebration of street food and street art.","Korean American","","No","United States","Americas","US",NA,"North America","Jacqueline and June Briggs Martin and Jo Lee","Yes",NA,"Yes",NA,"Korean","","Korean"
"199","No Kimchi For Me!","Unspecified","","Aram","Kim","6+","Picture Book","Available in Hardcover","Yoomi hates stinky, spicy kimchi the pickled cabbage condiment served at Korean meals. So her brothers call her a baby and refuse to play with her. Yoomi is determined to eat kimchi. She tries to disguise it by eating it on a cookie, on pizza, and in ice cream. But that doesn't work. Then Grandma shows Yoomi how to make kimchi pancakes. This story about family, food, and a six-year-old coming of age has universal themes, and at the same time celebrates Korean culture. A kimchi pancake recipe and other back matter are included.","Korean American","Cats","Yes","Unspecified",NA,NA,NA,NA,"Aram Kim","Yes",NA,NA,NA,"Korean","Animals","Korean , Animals"
"200","Permanent Record","United States","","Mary H. K.","Choi","14+","Young Adult","Available in Hardcover & Audio","On paper, college dropout Pablo Rind doesn?t have a whole lot going for him. His graveyard shift at a twenty-four-hour deli in Brooklyn is a struggle. Plus, he?s up to his eyeballs in credit card debt. Never mind the state of his student loans. Pop juggernaut Leanna Smart has enough social media followers to populate whole continents. The brand is unstoppable. She graduated from child stardom to become an international icon and her adult life is a queasy blur of private planes, step-and-repeats, aspirational hotel rooms, and strangers screaming for her just to notice them. When Leanna and Pablo meet at 5:00 a.m. at the bodega in the dead of winter it?s absurd to think they?d be A Thing. But as they discover who they are, who they want to be, and how to defy the deafening expectations of everyone else, Lee and Pab turn to each other. Which, of course, is when things get properly complicated.","Korean Pakistani American","","No","United States","Americas","US",NA,"North America","Mary H. K. Choi","Yes",NA,"Yes",NA,"Korean Pakistani","","Korean Pakistani"
"201","Cooper's Lesson","United States","","Sun Yung","Shin","6+","Picture Book","Publisher Out of Stock","Cooper's Lesson is an inspiring story about identity and intergenerational friendship, featuring a young biracial boy, written in both English and Korean. Cooper has had about enough of being half and half. And he's really had enough of Mr. Lee, the owner of his neighborhood grocery store, speaking to him in Korean even though Cooper can't keep up. Frustrated, he often wonders why things have to be so complicated. Why can't he just be one race or the other? But one moment in Mr. Lee's store changes everything. Soon Cooper realizes that the things that make up a person are never simple ƒ?? whether one talks about them in English or Korean. Richly hued oil paintings and tender vivid prose combine to bring the characters to life.","Korean-American","Korean","No","United States","Americas","US",NA,"North America","Sun Yung Shin",NA,NA,NA,"Yes","Korean","Korean","Korean"
"202","Something About America","Kosovo","","Maria!!!!","Testa!!!!","12+","Middle Grade","Available in Paperback","What happens to a dream divided? Draping colorful scarves around her neck, the thirteen-year-old from Kosova thinks of herself as a typical American schoolgirl, happy to blend into eighth grade with her friends. But for her parents, seeking a new life in Maine was not a choice but a necessity a way to escape from a war and find medical care for a daughter burned in a fire that scarred her up to her chin. While her underemployed parents still talk about """"home"""" and continue to feel like foreigners ten years later, their daughter is torn between the guilt about their displacement and pride in her new identity. Then a hateful event changes everything, stirring passions throughout the entire region and forcing residents old and new to re-examine what it means to be an American. Narrated by the young daughter from Kosova, the nuanced and deeply moving immigration tale was inspired by true events: In October 2002, the mayor of Lewiston, Maine wrote a letter to the elders of the local Somali community, asking them to turn future refugees away because the town was """"maxed-out physically, financially, and emotionally."""" Seizing the opportunity, a racist group staged a rally that drew thirty people, only to be met by some six thousand residents in support of the Somalis ƒ?? people of all cultures and backgrounds who knew something about America.","Kosovar","Somalian","No","Kosovo",NA,NA,NA,"Europe & Central Asia","Maria!!!! Testa!!!!",NA,"Yes",NA,NA,"Kosovar","Somalian","Kosovar , Somalian"
